date,Category,FQDN
20220901,FakeMcAfeeAlert,datalert.xyz
20220901,FakeMcAfeeAlert,disturbmachine.xyz
20220901,FakeMcAfeeAlert,lanex.live
20220901,FakeMcAfeeAlert,promocollectiona1.click
20220901,FakeMcAfeeAlert,kumas.live
20220901,FakeMcAfeeAlert,mopis.live
20220901,FakeMcAfeeAlert,converter.pics
20220902,FakeMcAfeeAlert,keepone.xyz
20220902,FakeMcAfeeAlert,promooffera1.click
20220902,"FakeNotificationConfirmation, FakeHumanVerification",walkets.click
20220902,FakeMcAfeeAlert,honus.live
20220902,FakeMcAfeeAlert,doket.live
20220902,FakeHumanVerification,slickperfect.com
20220902,FakeHumanVerification,phunsolutions.com
20220902,FakeMcAfeeAlert,cleantraf.xyz
20220905,FakeMcAfeeAlert,mc1.resultus.click
20220905,FakeMcAfeeAlert,mc1.resulteu.click
20220905,FakeMcAfeeAlert,mund35ane-cha11nnel.xyz
20220905,FakeMcAfeeAlert,kcart.click
20220905,FakeHumanVerification,yourmetshop.com
20220906,FakeHumanVerification,webslick24.com
20220906,FakeMcAfeeAlert,staysafestudio.vip
20220906,FakeMcAfeeAlert,www.analysissecuritycentr.com
20220906,FakeMcAfeeAlert,salim.live
20220906,FakeMcAfeeAlert,mc2.grindeu.click
20220906,FakeMcAfeeAlert,depos.live
20220906,FakeHumanVerification,besteasyclick.com
20220906,FakeMcAfeeAlert,cuvir.live
20220906,FakeMcAfeeAlert,septemberpromo24.click
20220913,FakeHumanVerification,fyngood.com
20220913,FakeHumanVerification,pushyouspace.com
20220913,FakeHumanVerification,adslivetraining.com
20220913,FakeHumanVerification,mscmart.com
20220913,FakeHumanVerification,fast-travel.org
20220913,"FakeHumanVerification, FakeNotificationConfirmation",myrosticary.com
20220913,FakeHumanVerification,pushmestar.com
20220913,FakeHumanVerification,mettips.com
20220914,FakeMcAfeeAlert,flash.in.net
20220914,FakeMcAfeeAlert,nares.live
20220914,FakeMcAfeeAlert,q3rrassa.click
20220914,FakeMcAfeeAlert,safecenter.vip
20220915,FakeMcAfeeAlert,lyton.live
20220915,FakeMcAfeeAlert,safehome.vip
20220915,FakeMcAfeeAlert,limitedpromo24.click
20220915,FakeMcAfeeAlert,fegon.live
20220915,FakeMcAfeeAlert,gred.live
20220915,FakeMcAfeeAlert,mc1.ratpus.click
20220915,FakeMcAfeeAlert,safemart.vip
20220915,FakeMcAfeeAlert,safenow.vip
20220915,FakeMcAfeeAlert,dacon.live
20220915,FakeMcAfeeAlert,whe4ablist.click
20220915,FakeMcAfeeAlert,topsafellc.vip
20220915,FakeMcAfeeAlert,thesafe.vip
20220916,"FakeAmazonNewsArticle, FakeAmazonStockInvestment",dailyrecord-1.bond
20220916,FakeMcAfeeAlert,tuval.live
20220916,FakeMcAfeeAlert,vibor.live
20220916,FakeMcAfeeAlert,latum.live
20220916,FakeMcAfeeAlert,d1vyoj5rje7nqn.cloudfront.net
20220916,FakeMcAfeeAlert,poris.live
20220916,FakeMcAfeeAlert,lemos.live
20220916,FakeMcAfeeAlert,onetwoc1.click
20220916,FakeMcAfeeAlert,antivirus.gatheu.click
20220916,FakeMcAfeeAlert,www.analyticsoftwarecentr.com
20220916,FakeMcAfeeAlert,septembersalec2.click
20220922,FakeMcAfeeAlert,fonto.club
20220922,FakeMcAfeeAlert,notify.in.net
20220922,FakeMcAfeeAlert,inpar.live
20220922,FakeMcAfeeAlert,safeguide.vip
20220922,FakeMcAfeeAlert,aret.securedatashield.online
20220922,FakeMcAfeeAlert,us1.gatheu.click
20220922,FakeMcAfeeAlert,eu1.magikeu.click
20220922,FakeMcAfeeAlert,countdownpromoc1.click
20220922,FakeMcAfeeAlert,deviceprotection.digital
20220922,FakeMcAfeeAlert,myaccounthelp.xyz
20220922,FakeMcAfeeAlert,safehub.vip
20220922,FakeMcAfeeAlert,safecity.vip
20220922,FakeMcAfeeAlert,amenis.live
20220922,FakeMcAfeeAlert,berig.live
20220927,DownloadFakeADBlock,fatededers.com
20220927,FakeMcAfeeAlert,safepro.vip
20220927,FakeMcAfeeAlert,eu1.taranteu.click
20220927,"FakeAmazonStockInvestment, FakeAmazonNewsArticle",daily-record1.icu
20220927,FakeNotificationConfirmation,winsafe.xyz
