first_seen,ip,cve_id
20220506,80.94.92.38,CVE-2022-22954
20220511,103.147.169.2,CVE-2022-1388
20220511,141.95.64.148,CVE-2022-1388
20220511,159.138.228.215,CVE-2022-1388
20220511,159.138.238.132,CVE-2022-1388
20220511,159.89.152.227,CVE-2022-1388
20220511,165.22.151.166,CVE-2022-1388
20220511,167.99.130.208,CVE-2022-1388
20220511,170.210.45.163,CVE-2022-1388
20220511,173.212.229.216,CVE-2022-1388
20220511,179.43.156.214,CVE-2022-1388
20220511,197.246.171.189,CVE-2022-1388
20220511,200.132.49.245,CVE-2022-1388
20220511,3.239.96.225,CVE-2022-1388
20220511,3.239.96.225,CVE-2022-22954
20220512,20.38.170.64,CVE-2022-1388
20220514,143.198.141.224,CVE-2022-1388
20220516,45.61.188.160,CVE-2022-1388
20220520,131.117.212.14,CVE-2022-1388
20220520,185.79.113.29,CVE-2022-1388
20220520,190.3.23.122,CVE-2022-1388
20220520,191.232.38.25,CVE-2022-1388
20220520,203.69.158.250,CVE-2022-1388
20220520,213.136.75.246,CVE-2022-1388
20220520,217.73.144.45,CVE-2022-1388
20220520,41.93.45.129,CVE-2022-1388
20220520,41.93.45.130,CVE-2022-1388
20220520,84.54.134.60,CVE-2022-1388
20220521,117.120.49.60,CVE-2022-1388
20220521,173.230.131.146,CVE-2022-1388
20220521,197.246.175.227,CVE-2022-1388
20220521,2.228.235.134,CVE-2022-1388
20220524,45.32.113.106,CVE-2022-1388
20220525,185.81.128.102,CVE-2022-1388
20220528,203.252.149.33,CVE-2022-1388
20220529,117.152.72.72,CVE-2022-1388
20220529,117.152.72.72,CVE-2022-22954
20220602,208.87.133.77,CVE-2022-1388
20220603,144.172.118.37,CVE-2022-30525
20220604,20.230.171.174,CVE-2022-26134
20220605,107.182.191.202,CVE-2022-26134
20220605,117.176.248.6,CVE-2022-26134
20220606,208.87.133.77,CVE-2022-26134
20220606,213.202.230.64,CVE-2022-26134
20220606,89.163.135.98,CVE-2022-26134
20220606,18.220.145.184,CVE-2022-26134
20220607,208.68.36.160,CVE-2022-26134
20220607,45.95.55.42,CVE-2022-26134
20220607,44.204.8.85,CVE-2022-1388
20220608,45.95.55.42,CVE-2022-26134
20220608,103.99.176.144,CVE-2022-1388
20220608,185.141.110.139,CVE-2022-1388
20220608,51.38.146.122,CVE-2022-1388
20220610,45.14.226.33,CVE-2022-26134
20220610,197.246.171.105,CVE-2022-1388
20220610,45.76.180.240,CVE-2022-1388
20220611,185.156.74.58,CVE-2022-26134
20220612,144.172.118.37,CVE-2022-26134
20220613,45.146.165.168,CVE-2022-26134
20220613,185.35.184.240,CVE-2022-1388
20220613,185.97.124.40,CVE-2022-1388
20220613,197.246.175.120,CVE-2022-1388
20220613,3.94.159.98,CVE-2022-1388
20220614,156.240.108.125,CVE-2022-1388
20220616,62.33.81.188,CVE-2022-26134
20220616,80.82.64.65,CVE-2022-26134
20220617,164.92.115.6,CVE-2022-26134
20220617,164.92.115.6,CVE-2022-1388
20220617,103.164.191.36,CVE-2022-1388
20220618,209.141.41.137,CVE-2022-26134
20220618,128.199.124.147,CVE-2022-1388
20220618,52.166.194.86,CVE-2022-1388
20220619,64.31.33.2,CVE-2022-26134
20220620,149.57.135.75,CVE-2022-26134
20220620,91.240.118.139,CVE-2022-26134
20220620,142.93.103.94,CVE-2022-1388
20220620,197.246.171.63,CVE-2022-1388
20220621,96.33.253.114,CVE-2022-1388
20220622,197.246.175.127,CVE-2022-1388
20220623,193.111.199.135,CVE-2022-26134
20220625,197.246.175.104,CVE-2022-1388
20220626,134.75.115.48,CVE-2022-1388
20220627,201.218.84.166,CVE-2022-1388
20220628,213.202.230.64,CVE-2022-30525
20220628,3.88.0.228,CVE-2022-22954
20220630,93.186.201.117,CVE-2022-30525
20220701,93.186.201.117,CVE-2022-30525
20220702,45.95.169.146,CVE-2022-1388
20220704,93.186.201.117,CVE-2022-26134
20220706,43.248.128.94,CVE-2022-26134
20220706,44.203.91.115,CVE-2022-26134
20220706,44.203.91.115,CVE-2022-22954
20220707,44.203.91.115,CVE-2022-1388
20220708,198.98.62.64,CVE-2022-26134
20220708,54.183.188.3,CVE-2022-26134
20220708,197.246.171.29,CVE-2022-1388
20220708,120.206.16.143,CVE-2022-22954
20220709,197.246.171.56,CVE-2022-1388
20220710,107.189.30.232,CVE-2022-26134
20220710,20.78.62.152,CVE-2022-26134
20220710,212.71.251.241,CVE-2022-26134
20220710,143.198.76.196,CVE-2022-1388
20220710,93.63.170.101,CVE-2022-1388
20220711,120.206.17.195,CVE-2022-26134
20220711,120.206.17.195,CVE-2022-22954
20220712,193.108.115.15,CVE-2022-22954
20220713,20.78.62.152,CVE-2022-1388
20220714,193.108.115.15,CVE-2022-26134
20220714,103.118.42.208,CVE-2022-1388
20220715,20.199.8.58,CVE-2022-26134
20220715,20.199.8.58,CVE-2022-1388
20220715,197.246.175.148,CVE-2022-1388
20220716,20.13.0.62,CVE-2022-26134
20220716,20.13.0.62,CVE-2022-1388
20220717,20.223.179.110,CVE-2022-1388
20220720,104.248.144.120,CVE-2022-1388
20220720,182.253.115.229,CVE-2022-1388
20220721,125.124.75.111,CVE-2022-26134
20220721,125.124.75.111,CVE-2022-1388
20220721,125.124.75.111,CVE-2022-22954
20220721,125.124.75.111,CVE-2022-30525
20220721,114.242.9.127,CVE-2022-1388
20220721,118.121.27.103,CVE-2022-1388
20220721,120.211.140.116,CVE-2022-1388
20220721,154.61.69.150,CVE-2022-1388
20220721,178.176.202.185,CVE-2022-1388
20220721,20.127.40.222,CVE-2022-1388
20220721,20.205.217.153,CVE-2022-1388
20220721,20.212.192.235,CVE-2022-1388
20220721,20.24.217.136,CVE-2022-1388
20220721,20.24.70.226,CVE-2022-1388
20220721,20.26.214.170,CVE-2022-1388
20220721,20.28.241.44,CVE-2022-1388
20220721,20.89.133.145,CVE-2022-1388
20220721,218.10.17.144,CVE-2022-1388
20220721,220.194.70.77,CVE-2022-1388
20220721,221.226.159.22,CVE-2022-1388
20220721,36.248.137.11,CVE-2022-1388
20220721,47.103.77.41,CVE-2022-1388
20220721,47.103.77.41,CVE-2022-22954
20220721,49.7.224.217,CVE-2022-1388
20220721,51.12.217.112,CVE-2022-1388
20220721,51.12.241.190,CVE-2022-1388
20220721,59.110.7.136,CVE-2022-1388
20220721,61.178.32.114,CVE-2022-1388
20220721,67.205.128.27,CVE-2022-1388
20220721,86.109.208.194,CVE-2022-1388
20220722,47.103.77.41,CVE-2022-26134
20220722,148.153.82.138,CVE-2022-1388
20220723,121.4.221.186,CVE-2022-1388
20220725,121.4.221.186,CVE-2022-26134
20220725,121.4.221.186,CVE-2022-22954
20220727,139.59.111.111,CVE-2022-26134
20220730,173.249.60.146,CVE-2022-1388
20220730,197.246.175.157,CVE-2022-1388
20220731,107.182.129.115,CVE-2022-26134
20220731,107.182.129.115,CVE-2022-1388
20220731,109.206.241.221,CVE-2022-26134
20220731,109.206.241.221,CVE-2022-1388
20220802,138.121.91.149,CVE-2022-1388
20220803,35.178.225.192,CVE-2022-26134
20220803,35.178.225.192,CVE-2022-22954
20220803,165.227.233.211,CVE-2022-1388
20220803,167.99.91.105,CVE-2022-1388
20220803,178.128.168.143,CVE-2022-22954
20220804,167.99.91.105,CVE-2022-1388
20220805,188.68.61.6,CVE-2022-1388
20220805,197.246.171.68,CVE-2022-1388
20220805,197.246.175.163,CVE-2022-1388
20220805,142.44.161.52,CVE-2022-22954
20220806,192.99.167.153,CVE-2022-26134
20220806,192.99.167.153,CVE-2022-1388
20220806,192.99.167.153,CVE-2022-22954
20220806,142.44.161.52,CVE-2022-1388
20220807,188.68.61.6,CVE-2022-26134
20220808,52.0.15.140,CVE-2022-26134
20220809,52.0.15.140,CVE-2022-1388
20220809,54.152.53.242,CVE-2022-1388
20220810,100.24.104.167,CVE-2022-26134
20220810,100.24.104.167,CVE-2022-1388
20220811,124.221.183.70,CVE-2022-26134
20220812,183.242.15.85,CVE-2022-1388
20220813,197.246.171.100,CVE-2022-1388
20220813,5.144.190.233,CVE-2022-1388
20220813,60.10.72.131,CVE-2022-1388
20220815,178.62.44.152,CVE-2022-26134
20220815,178.62.44.152,CVE-2022-1388
20220816,195.154.164.44,CVE-2022-1388
20220816,197.246.175.114,CVE-2022-1388
20220818,141.98.11.92,CVE-2022-22954
20220821,113.52.132.88,CVE-2022-26134
20220821,113.52.132.88,CVE-2022-1388
20220821,113.52.132.88,CVE-2022-22954
20220823,104.227.178.247,CVE-2022-26134
20220823,104.248.173.213,CVE-2022-26134
20220823,104.248.173.93,CVE-2022-26134
20220823,158.115.243.136,CVE-2022-26134
20220823,45.63.98.21,CVE-2022-1388
20220823,178.171.65.238,CVE-2022-22954
20220823,209.97.143.174,CVE-2022-22954
20220824,60.10.72.131,CVE-2022-26134
20220824,60.10.72.131,CVE-2022-22954
20220824,60.10.72.131,CVE-2022-30525
20220824,197.246.175.124,CVE-2022-1388
20220824,223.70.163.92,CVE-2022-1388
20220826,197.246.171.124,CVE-2022-1388
20220827,96.9.225.125,CVE-2022-26134
20220827,96.9.225.125,CVE-2022-30525
20220827,51.222.158.205,CVE-2022-26134
20220827,51.222.158.205,CVE-2022-1388
20220827,44.202.34.12,CVE-2022-1388
20220828,171.22.30.213,CVE-2022-30525
20220828,51.222.158.205,CVE-2022-22954
20220830,18.117.131.9,CVE-2022-26134
20220830,18.117.163.165,CVE-2022-26134
20220830,18.117.244.83,CVE-2022-26134
20220830,18.191.230.105,CVE-2022-26134
20220830,3.131.162.197,CVE-2022-26134
20220830,18.116.72.140,CVE-2022-1388
20220830,3.145.211.157,CVE-2022-1388
20220830,3.19.217.142,CVE-2022-1388
20220901,13.250.108.49,CVE-2022-26134
20220901,13.250.108.49,CVE-2022-22954
20220902,125.94.201.166,CVE-2022-22954
20220905,82.197.222.123,CVE-2022-26134
20220905,106.38.75.167,CVE-2022-26134
20220905,117.152.75.5,CVE-2022-26134
20220905,117.152.75.5,CVE-2022-1388
20220905,117.152.75.5,CVE-2022-22954
20220908,217.69.1.204,CVE-2022-26134
20220908,107.191.62.11,CVE-2022-1388
20220908,45.77.62.136,CVE-2022-22954
20220910,106.52.121.158,CVE-2022-1388
20220910,121.9.200.22,CVE-2022-1388
20220910,147.135.1.175,CVE-2022-1388
20220910,175.207.29.219,CVE-2022-1388
20220910,195.130.119.114,CVE-2022-1388
20220910,211.149.246.144,CVE-2022-1388
20220911,103.218.243.197,CVE-2022-26134
20220911,120.48.87.127,CVE-2022-1388
20220912,120.48.87.127,CVE-2022-26134
20220912,120.48.87.127,CVE-2022-22954
20220912,120.48.87.127,CVE-2022-30525
20220912,27.219.88.85,CVE-2022-26134
20220912,27.219.88.85,CVE-2022-1388
20220912,27.219.88.85,CVE-2022-22954
20220912,112.225.7.156,CVE-2022-1388
20220912,124.129.52.97,CVE-2022-1388
20220912,27.219.89.203,CVE-2022-1388
20220912,27.219.89.203,CVE-2022-22954
20220912,39.89.18.129,CVE-2022-1388
20220913,106.37.108.146,CVE-2022-1388
20220913,110.42.175.75,CVE-2022-1388
20220913,111.200.27.217,CVE-2022-1388
20220913,123.60.106.98,CVE-2022-1388
20220913,163.172.73.100,CVE-2022-1388
20220913,163.172.73.99,CVE-2022-1388
